State,County,Votes Biden,Votes Trump
New Hampshire,Rindge,1443,2144
New Hampshire,Rochester,8132,8367
New Hampshire,Rollinsford,951,735
New Hampshire,Roxbury,92,52
New Hampshire,Rumney,410,527
New Hampshire,Rye,2781,1620
New Hampshire,Salem,7638,9969
New Hampshire,Salisbury,380,517
New Hampshire,Sanbornton,875,1134
New Hampshire,Sandown,1632,2273
New Hampshire,Sandwich,718,413
New Hampshire,Seabrook,1973,2595
New Hampshire,Sharon,153,116
New Hampshire,Shelburne,131,122
New Hampshire,Somersworth,3422,2550
New Hampshire,South Hampton,304,326
New Hampshire,Springfield,437,436
New Hampshire,Stark,106,188
New Hampshire,Stewartstown,117,291
New Hampshire,Stoddard,419,430
New Hampshire,Strafford,1330,1408
New Hampshire,Stratford,159,140
New Hampshire,Stratham,3306,2115
New Hampshire,Sugar Hill,316,153
New Hampshire,Sullivan,216,186
New Hampshire,Sunapee,1309,1086
New Hampshire,Surry,307,252
New Hampshire,Sutton,753,574
New Hampshire,Swanzey,0,0
New Hampshire,Tamworth,899,838
New Hampshire,Temple,518,432
New Hampshire,Thornton,958,737
New Hampshire,Tilton,938,1044
New Hampshire,Troy,509,583
New Hampshire,Tuftonboro,875,1012
New Hampshire,Unity,335,513
New Hampshire,Wakefield,1240,1986
New Hampshire,Walpole,1450,825
New Hampshire,Warner,1050,844
New Hampshire,Warren,189,275
New Hampshire,Washington,314,467
New Hampshire,Waterville,226,125
New Hampshire,Weare,2211,3213
New Hampshire,Webster,548,669
New Hampshire,Wentworth,280,323
New Hampshire,Wentworth's Location,4,13
New Hampshire,Westmoreland,656,453
New Hampshire,Whitefield,631,669
New Hampshire,Wilmot,583,366
New Hampshire,Wilton,1330,1090
New Hampshire,Winchester,986,988
New Hampshire,Windham,4567,5196
New Hampshire,Windsor,33,91
New Hampshire,Wolfeboro,2355,2371
New Hampshire,Woodstock,480,364
New Jersey,Atlantic County,61032,51884
New Jersey,Bergen County,250139,171754
New Jersey,Burlington County,126131,74502
New Jersey,Camden County,124552,52519
New Jersey,Cape May County,22713,31498
New Jersey,Cumberland County,19000,13189
New Jersey,Essex County,224615,63971
New Jersey,Gloucester County,84120,80700
New Jersey,Hudson County,141997,45160
New Jersey,Hunterdon County,35318,35808
New Jersey,Mercer County,98338,38339
New Jersey,Middlesex County,141137,70095
New Jersey,Monmouth County,137084,126807
New Jersey,Morris County,73790,54392
New Jersey,Ocean County,104552,180820
New Jersey,Passaic County,78552,49256
New Jersey,Salem County,12312,15601
New Jersey,Somerset County,87411,51400
New Jersey,Sussex County,26115,33253
New Jersey,Union County,88984,32422
New Jersey,Warren County,17750,20991
New Mexico,Bernalillo County,192042,115674
New Mexico,Catron County,592,1697
New Mexico,Chaves County,6379,15646
New Mexico,Cibola County,4696,3962
New Mexico,Colfax County,2611,3271
New Mexico,Curry County,4188,10315
New Mexico,De Baca County,231,654
New Mexico,Do���a Ana County,47919,32760
New Mexico,Eddy County,5424,17454
New Mexico,Grant County,7590,6553
New Mexico,Guadalupe County,1229,912
New Mexico,Harding County,179,319
New Mexico,Hidalgo County,812,1105
New Mexico,Lea County,4061,16531
New Mexico,Lincoln County,3175,6929
New Mexico,Los Alamos County,7363,4230
New Mexico,Luna County,3564,4407
New Mexico,McKinley County,17684,7597
New Mexico,Mora County,1744,902
New Mexico,Otero County,8483,14521
New Mexico,Quay County,1170,2634
New Mexico,Rio Arriba County,13597,7255
New Mexico,Roosevelt County,1799,4629
New Mexico,San Juan County,18025,32824
New Mexico,San Miguel County,7830,3407
New Mexico,Sandoval County,40307,34048
New Mexico,Santa Fe County,61629,18236
New Mexico,Sierra County,2265,3542
New Mexico,Socorro County,3721,3255
New Mexico,Taos County,12816,3638
New Mexico,Torrance County,2344,4772
New Mexico,Union County,383,1388
New Mexico,Valencia County,14051,17245
New York,Albany County,73189,45570
New York,Allegany County,4188,12670
New York,Bronx County,271835,55849
New York,Broome County,32209,38296
New York,Cattaraugus County,9142,20295
New York,Cayuga County,11993,17639
New York,Chautauqua County,16200,31247
New York,Chemung County,11573,19388
New York,Chenango County,5126,11736
New York,Clinton County,12690,14354
New York,Columbia County,14148,12883
New York,Cortland County,6829,9484
New York,Delaware County,6420,11952
New York,Dutchess County,57720,59661
New York,Erie County,198808,178349
New York,Essex County,6970,7953
New York,Franklin County,6586,8530
New York,Fulton County,5804,13989
New York,Genesee County,7048,17340
New York,Greene County,7675,12722
New York,Hamilton County,863,1917
New York,Herkimer County,7282,17038
New York,Jefferson County,12053,22779
New York,Kings County,514133,174731
New York,Lewis County,2768,7931
New York,Livingston County,9150,16575
New York,Madison County,10417,16553
New York,Monroe County,146299,122799
New York,Montgomery County,5746,11500
New York,Nassau County,280288,286661
New York,New York County,377605,65001
New York,Niagara County,34809,51355
New York,Oneida County,30542,51950
New York,Onondaga County,93850,78994
New York,Ontario County,20779,25757
New York,Orange County,61868,76218
New York,Orleans County,4082,11173
New York,Oswego County,14677,28914
New York,Otsego County,9138,12682
New York,Putnam County,17106,25899
New York,Queens County,769135,173304
New York,Rensselaer County,30450,33371
New York,Richmond County,67223,110094
New York,Rockland County,50926,63830
New York,Saratoga County,49697,55248
New York,Schenectady County,31685,27544
New York,Schoharie County,4006,9010
New York,Schuyler County,2858,5181
New York,Seneca County,5076,7582
New York,St. Lawrence County,13036,21862
New York,Steuben County,11299,26781
New York,Suffolk County,258007,333100
New York,Sullivan County,10995,15555
New York,Tioga County,6724,13292
New York,Tompkins County,21643,8522
New York,Ulster County,42606,33580
New York,Warren County,11811,15200
New York,Washington County,8537,14577
New York,Wayne County,12799,23734
New York,Westchester County,400881,217725
New York,Wyoming County,3840,12969
New York,Yates County,3046,5552
North Carolina,Alamance County,38186,45490
North Carolina,Alexander County,4113,15806
North Carolina,Alleghany County,1480,4501
North Carolina,Anson County,5768,5301
North Carolina,Ashe County,4149,11368
North Carolina,Avery County,2171,7092
North Carolina,Beaufort County,9575,16352
North Carolina,Bertie County,5846,3778
North Carolina,Bladen County,7281,9623
North Carolina,Brunswick County,32984,55373
North Carolina,Buncombe County,95881,61983
North Carolina,Burke County,12985,30814
North Carolina,Cabarrus County,51594,62722
North Carolina,Caldwell County,10105,31877
North Carolina,Camden County,1515,4277
North Carolina,Carteret County,11999,29886
North Carolina,Caswell County,4831,7040
North Carolina,Catawba County,25420,56203
North Carolina,Chatham County,26642,21055
North Carolina,Cherokee County,3563,12568
North Carolina,Chowan County,3232,4458
North Carolina,Clay County,1685,5074
North Carolina,Cleveland County,16879,33664
North Carolina,Columbus County,9382,16696
North Carolina,Craven County,20977,30831
North Carolina,Cumberland County,83533,59498
North Carolina,Currituck County,4151,11566
North Carolina,Dare County,9855,13844
North Carolina,Davidson County,21483,62143
North Carolina,Davie County,6653,18115
North Carolina,Duplin County,8676,13703
North Carolina,Durham County,142770,31827
North Carolina,Edgecombe County,15935,9139
North Carolina,Forsyth County,111769,84176
North Carolina,Franklin County,15776,20748
North Carolina,Gaston County,40231,72132
North Carolina,Gates County,2540,3354
North Carolina,Graham County,896,3667
North Carolina,Granville County,14448,16548
North Carolina,Greene County,3820,4858
North Carolina,Guilford County,171538,106384
North Carolina,Halifax County,15382,9973
North Carolina,Harnett County,21839,34905
North Carolina,Haywood County,13095,22698
North Carolina,Henderson County,27014,39810
North Carolina,Hertford County,7077,3470
North Carolina,Hoke County,11929,9601
North Carolina,Hyde County,1035,1408
North Carolina,Iredell County,33426,66439
North Carolina,Jackson County,9522,11263
North Carolina,Johnston County,40861,67901
North Carolina,Jones County,2175,3267
North Carolina,Lee County,12076,16388
North Carolina,Lenoir County,13494,14500
North Carolina,Lincoln County,13178,36167
North Carolina,Macon County,6213,14152
North Carolina,Madison County,4878,7928
North Carolina,Martin County,5876,6493
North Carolina,McDowell County,5807,16839
North Carolina,Mecklenburg County,375503,178066
North Carolina,Mitchell County,1852,7041
North Carolina,Montgomery County,4305,8363
North Carolina,Moore County,20547,36459
North Carolina,Nash County,25702,25653
North Carolina,New Hanover County,64876,62420
North Carolina,Northampton County,6048,3977
North Carolina,Onslow County,23474,45016
North Carolina,Orange County,63097,19993
North Carolina,Pamlico County,2699,4815
North Carolina,Pasquotank County,9653,9626
North Carolina,Pender County,11655,21833
North Carolina,Perquimans County,2485,4894
North Carolina,Person County,8416,13104
North Carolina,Pitt County,46515,38437
North Carolina,Polk County,4485,7643
North Carolina,Randolph County,15506,56589
North Carolina,Richmond County,8676,11752
North Carolina,Robeson County,17998,25927
North Carolina,Rockingham County,15766,30955
North Carolina,Rowan County,22889,49053
North Carolina,Rutherford County,9049,24631
North Carolina,Sampson County,10606,17132
North Carolina,Scotland County,7137,7399
North Carolina,Stanly County,8037,25297
North Carolina,Stokes County,5258,19997
North Carolina,Surry County,8635,27344
North Carolina,Swain County,2765,4152
North Carolina,Transylvania County,8413,11578
North Carolina,Tyrrell County,757,1043
North Carolina,Union County,48199,79778
North Carolina,Vance County,12412,8385
North Carolina,Wake County,388686,223466
North Carolina,Warren County,6344,3739
North Carolina,Washington County,3387,2778
North Carolina,Watauga County,16925,14332
North Carolina,Wayne County,23986,30505
North Carolina,Wilkes County,7445,27397
North Carolina,Wilson County,20579,19473
North Carolina,Yadkin County,3744,15861
North Carolina,Yancey County,3678,7481
North Dakota,Adams County,258,978
North Dakota,Barnes County,1800,3532
North Dakota,Benson County,817,1090
North Dakota,Billings County,72,539
North Dakota,Bottineau County,819,2563
North Dakota,Bowman County,227,1382
North Dakota,Burke County,196,1022
North Dakota,Burleigh County,14226,34588
North Dakota,Cass County,40219,42567
North Dakota,Cavalier County,474,1499
North Dakota,Dickey County,602,1732
North Dakota,Divide County,265,899
North Dakota,Dunn County,338,1945
North Dakota,Eddy County,382,851
North Dakota,Emmons County,237,1735
North Dakota,Foster County,369,1338
North Dakota,Golden Valley County,136,870
North Dakota,Grand Forks County,12856,16963
North Dakota,Grant County,207,1132
North Dakota,Griggs County,308,906
North Dakota,Hettinger County,195,1086
North Dakota,Kidder County,221,1206
North Dakota,LaMoure County,526,1633
North Dakota,Logan County,125,923
North Dakota,McHenry County,559,2345
North Dakota,McIntosh County,259,1147
North Dakota,McKenzie County,813,4476
North Dakota,McLean County,1216,4169
North Dakota,Mercer County,703,3850
North Dakota,Morton County,3865,12234
North Dakota,Mountrail County,1251,2806
North Dakota,Nelson County,585,1139
North Dakota,Oliver County,127,917
North Dakota,Pembina County,783,2435
North Dakota,Pierce County,569,1637
North Dakota,Ramsey County,1636,3570
North Dakota,Ransom County,942,1411
North Dakota,Renville County,218,1053
North Dakota,Richland County,2495,5035
North Dakota,Rolette County,2475,1253
North Dakota,Sargent County,812,1286
North Dakota,Sheridan County,104,688
North Dakota,Sioux County,804,257
North Dakota,Slope County,44,379
North Dakota,Stark County,2490,12091
North Dakota,Steele County,392,649
North Dakota,Stutsman County,2670,6981
North Dakota,Towner County,317,828
North Dakota,Traill County,1491,2519
North Dakota,Walsh County,1329,3309
North Dakota,Ward County,7264,19921
North Dakota,Wells County,442,1891
North Dakota,Williams County,2157,11707
Ohio,Adams County,2130,9660
Ohio,Allen County,13611,32052
Ohio,Ashland County,6448,19002
Ohio,Ashtabula County,16207,26225
Ohio,Athens County,14047,10386
Ohio,Auglaize County,4583,20451
Ohio,Belmont County,9007,23092
Ohio,Brown County,4326,16032
Ohio,Butler County,67729,111722
Ohio,Carroll County,3206,10525
Ohio,Champaign County,4946,14086
Ohio,Clark County,23625,38217
Ohio,Clermont County,33505,73077
Ohio,Clinton County,4556,15061
Ohio,Columbiana County,13183,35124
Ohio,Coshocton County,4057,11982
Ohio,Crawford County,4831,15043
Ohio,Cuyahoga County,402315,195089
Ohio,Darke County,4668,21569
Ohio,Defiance County,5870,12778
Ohio,Delaware County,56961,65163
Ohio,Erie County,17142,21724
Ohio,Fairfield County,30634,49714
Ohio,Fayette County,2911,9220
Ohio,Franklin County,391584,203154
Ohio,Fulton County,6545,15396
Ohio,Gallia County,2911,10289
Ohio,Geauga County,20980,33581
Ohio,Greene County,34023,50937
Ohio,Guernsey County,4498,13077
Ohio,Hamilton County,238101,173015
Ohio,Hancock County,11535,25796
Ohio,Hardin County,3025,9698
Ohio,Harrison County,1742,5668
Ohio,Henry County,3995,10273
Ohio,Highland County,3741,15369
Ohio,Hocking County,3836,9554
Ohio,Holmes County,1981,10645
Ohio,Huron County,7643,18537
Ohio,Jackson County,3193,10804
Ohio,Jefferson County,9823,22309
Ohio,Knox County,8433,21825
Ohio,Lake County,54337,71615
Ohio,Lawrence County,7353,19759
Ohio,Licking County,32324,57965
Ohio,Logan County,4990,17625
Ohio,Lorain County,72792,76719
Ohio,Lucas County,111989,79628
Ohio,Madison County,5558,13445
Ohio,Mahoning County,56346,58601
Ohio,Marion County,8089,18526
Ohio,Medina County,39326,63451
Ohio,Meigs County,2452,8163
Ohio,Mercer County,3981,19145
Ohio,Miami County,15420,40531
Ohio,Monroe County,1597,5392
Ohio,Montgomery County,131592,126085
Ohio,Morgan County,1703,4932
Ohio,Morrow County,3988,13784
Ohio,Muskingum County,11755,27334
Ohio,Noble County,1156,5024
Ohio,Ottawa County,8847,14285
Ohio,Paulding County,2172,6927
Ohio,Perry County,4006,11959
Ohio,Pickaway County,7167,20059
Ohio,Pike County,3051,8872
Ohio,Portage County,34935,45034
Ohio,Preble County,4435,16697
Ohio,Putnam County,3152,16218
Ohio,Richland County,17231,40534
Ohio,Ross County,10345,21687
Ohio,Sandusky County,10391,18487
Ohio,Scioto County,8876,21926
Ohio,Seneca County,8147,16739
Ohio,Shelby County,4399,19988
Ohio,Stark County,74336,108610
Ohio,Summit County,148151,122023
Ohio,Trumbull County,43534,53756
Ohio,Tuscarawas County,12643,29519
Ohio,Union County,10985,21233
Ohio,Van Wert County,3026,11470
Ohio,Vinton County,1306,4525
Ohio,Warren County,45040,85069
Ohio,Washington County,9114,21798
Ohio,Wayne County,24040,33618
Ohio,Williams County,4726,13218
Ohio,Wood County,29797,34815
Ohio,Wyandot County,2690,8248
Oklahoma,Adair County,1382,5560
Oklahoma,Alfalfa County,231,1978
Oklahoma,Atoka County,761,4543
Oklahoma,Beaver County,190,1964
Oklahoma,Beckham County,1048,6753
Oklahoma,Blaine County,688,3133
Oklahoma,Bryan County,3317,12319
Oklahoma,Caddo County,2666,7006
Oklahoma,Canadian County,16729,43481
Oklahoma,Carter County,4470,14699
Oklahoma,Cherokee County,6023,11210
Oklahoma,Choctaw County,1081,4696
Oklahoma,Cimarron County,70,966
Oklahoma,Cleveland County,49754,66569
Oklahoma,Coal County,373,2091
Oklahoma,Comanche County,13743,20894
Oklahoma,Cotton County,393,2117
Oklahoma,Craig County,1217,4686
Oklahoma,Creek County,6570,23269
Oklahoma,Custer County,2365,8051
Oklahoma,Delaware County,3470,13532
Oklahoma,Dewey County,213,2121
Oklahoma,Ellis County,162,1686
Oklahoma,Garfield County,4915,16956
Oklahoma,Garvin County,1864,8863
Oklahoma,Grady County,4131,18499
Oklahoma,Grant County,280,1916
Oklahoma,Greer County,328,1604
Oklahoma,Harmon County,177,747
Oklahoma,Harper County,136,1324
Oklahoma,Haskell County,782,4158
Oklahoma,Hughes County,919,3875
Oklahoma,Jackson County,1645,6391
Oklahoma,Jefferson County,319,2023
Oklahoma,Johnston County,736,3431
Oklahoma,Kay County,4037,12829
Oklahoma,Kingfisher County,853,5514
Oklahoma,Kiowa County,699,2667
Oklahoma,Latimer County,762,3435
Oklahoma,Le Flore County,3296,15199
Oklahoma,Lincoln County,2607,11996
Oklahoma,Logan County,5452,15596
Oklahoma,Love County,711,3301
Oklahoma,Major County,320,3082
Oklahoma,Marshall County,1099,4887
Oklahoma,Mayes County,3580,12743
Oklahoma,McClain County,3581,15264
Oklahoma,McCurtain County,1856,9478
Oklahoma,McIntosh County,2024,6152
Oklahoma,Murray County,1156,4610
Oklahoma,Muskogee County,8013,16495
Oklahoma,Noble County,1000,3816
Oklahoma,Nowata County,712,3610
Oklahoma,Okfuskee County,889,3046
Oklahoma,Oklahoma County,141587,144916
Oklahoma,Okmulgee County,4352,9651
Oklahoma,Osage County,5998,14107
Oklahoma,Ottawa County,2684,8545
Oklahoma,Pawnee County,1362,5256
Oklahoma,Payne County,10881,17778
Oklahoma,Pittsburg County,3766,13829
Oklahoma,Pontotoc County,4116,10784
Oklahoma,Pottawatomie County,7274,20224
Oklahoma,Pushmataha County,668,4015
Oklahoma,Roger Mills County,168,1626
Oklahoma,Rogers County,9578,33988
Oklahoma,Seminole County,2150,6008
Oklahoma,Sequoyah County,3035,12113
Oklahoma,Stephens County,3151,15552
Oklahoma,Texas County,894,4504
Oklahoma,Tillman County,597,2076
Oklahoma,Tulsa County,108813,150266
Oklahoma,Wagoner County,8439,26058
Oklahoma,Washington County,5790,17069
Oklahoma,Washita County,596,4078
Oklahoma,Woods County,590,2989
Oklahoma,Woodward County,1005,6607
Oregon,Baker County,2332,7316
Oregon,Benton County,35438,14647
Oregon,Clackamas County,124468,92852
Oregon,Clatsop County,12295,9713
Oregon,Columbia County,13535,16779
Oregon,Coos County,14024,21488
Oregon,Crook County,3715,11103
Oregon,Curry County,6023,8441
Oregon,Deschutes County,64102,54183
Oregon,Douglas County,18780,42513
Oregon,Gilliam County,323,830
Oregon,Grant County,923,3537
Oregon,Harney County,890,3465
Oregon,Hood River County,8530,3858
Oregon,Jackson County,58386,63012
Oregon,Jefferson County,4306,7044
Oregon,Josephine County,17908,30954
Oregon,Klamath County,10260,25048
Oregon,Lake County,788,3449
Oregon,Lane County,132015,79208
Oregon,Lincoln County,17248,12336
Oregon,Linn County,25893,42708
Oregon,Malheur County,3202,8101
Oregon,Marion County,78537,77292
Oregon,Morrow County,1345,3557
Oregon,Multnomah County,361561,81476
Oregon,Polk County,22431,23259
Oregon,Sherman County,257,914
Oregon,Tillamook County,7956,8306
Oregon,Umatilla County,10499,21002
Oregon,Union County,4227,10247
Oregon,Wallowa County,1619,3390
Oregon,Wasco County,6467,6965
Oregon,Washington County,205848,97820
Oregon,Wheeler County,216,710
Oregon,Yamhill County,25296,27494
Pennsylvania,Adams County,17919,37009
Pennsylvania,Allegheny County,396767,268340
Pennsylvania,Armstrong County,7130,26105
Pennsylvania,Beaver County,37389,53886
Pennsylvania,Bedford County,4266,22529
Pennsylvania,Berks County,89530,105941
Pennsylvania,Blair County,17251,44540
Pennsylvania,Bradford County,7729,21037
Pennsylvania,Bucks County,197356,182185
Pennsylvania,Butler County,36534,73023
Pennsylvania,Cambria County,21457,47519
Pennsylvania,Cameron County,634,1771
Pennsylvania,Carbon County,10943,21367
Pennsylvania,Centre County,39711,36041
Pennsylvania,Chester County,177408,126446
Pennsylvania,Clarion County,4615,14363
Pennsylvania,Clearfield County,9598,28984
Pennsylvania,Clinton County,5406,11668
Pennsylvania,Columbia County,10289,19752
Pennsylvania,Crawford County,10052,26439
Pennsylvania,Cumberland County,61168,76149
Pennsylvania,Dauphin County,77232,65101
Pennsylvania,Delaware County,199519,115521
Pennsylvania,Elk County,4478,11993
Pennsylvania,Erie County,66966,65647
Pennsylvania,Fayette County,19381,39887
Pennsylvania,Forest County,715,1864
Pennsylvania,Franklin County,21994,56565
Pennsylvania,Fulton County,1068,6660
Pennsylvania,Greene County,3631,11637
Pennsylvania,Huntingdon County,5389,16937
Pennsylvania,Indiana County,12475,27832
Pennsylvania,Jefferson County,4498,17928
Pennsylvania,Juniata County,2253,9648
Pennsylvania,Lackawanna County,61016,51404
Pennsylvania,Lancaster County,112536,156938
Pennsylvania,Lawrence County,15557,29071
Pennsylvania,Lebanon County,23263,45781
Pennsylvania,Lehigh County,90792,80031
Pennsylvania,Luzerne County,62983,84649
Pennsylvania,Lycoming County,16718,40878
Pennsylvania,McKean County,5024,13892
Pennsylvania,Mercer County,19399,34637
Pennsylvania,Mifflin County,4560,16532
Pennsylvania,Monroe County,42102,37297
Pennsylvania,Montgomery County,313543,182907
Pennsylvania,Montour County,3768,5842
Pennsylvania,Northampton County,83401,82548
Pennsylvania,Northumberland County,12414,28412
Pennsylvania,Perry County,5704,17879
Pennsylvania,Philadelphia County,553953,125513
Pennsylvania,Pike County,12845,18951
Pennsylvania,Potter County,1686,7117
Pennsylvania,Schuylkill County,20425,48100
Pennsylvania,Snyder County,4848,13816
Pennsylvania,Somerset County,8543,31105
Pennsylvania,Sullivan County,902,2595
Pennsylvania,Susquehanna County,6084,14879
Pennsylvania,Tioga County,4952,15732
Pennsylvania,Union County,7322,12194
Pennsylvania,Venango County,7475,18286
Pennsylvania,Warren County,5987,14020
Pennsylvania,Washington County,44231,71072
Pennsylvania,Wayne County,9118,18444
Pennsylvania,Westmoreland County,69110,127316
Pennsylvania,Wyoming County,4642,9819
Pennsylvania,York County,85323,143260
Rhode Island,Barrington,7513,2812
Rhode Island,Bristol,6606,4486
Rhode Island,Burrillville,3371,4865
Rhode Island,Central Falls,2879,1063
Rhode Island,Charlestown,2845,2174
Rhode Island,Coventry,8882,10285
Rhode Island,Cranston,22205,16952
Rhode Island,Cumberland,10649,8274
Rhode Island,East Greenwich,5057,3150
Rhode Island,East Providence,14394,7788
Rhode Island,Exeter,1910,1989
Rhode Island,Foster,1183,1558
Rhode Island,Glocester,2558,3310
Rhode Island,Hopkinton,2227,2373
Rhode Island,Jamestown,2731,1185
Rhode Island,Johnston,6689,8104
Rhode Island,Lincoln,6445,5698
Rhode Island,Little Compton,1491,938
Rhode Island,Middletown,5351,2827
Rhode Island,Narragansett,5210,3506
Rhode Island,New Shoreham,719,188
Rhode Island,Newport,7548,2587
Rhode Island,North Kingstown,9992,6524
Rhode Island,North Providence,9224,7029
Rhode Island,North Smithfield,3407,3496
Rhode Island,Pawtucket,17280,6869
Rhode Island,Portsmouth,6469,3923
Rhode Island,Providence,44686,9959
Rhode Island,Richmond,2280,2289
Rhode Island,Scituate,2669,3759
Rhode Island,Smithfield,5449,5658
Rhode Island,South Kingstown,10915,4900
Rhode Island,Tiverton,5020,3957
Rhode Island,Warren,3430,2203
Rhode Island,Warwick,25112,19210
Rhode Island,West Greenwich,1618,2214
Rhode Island,West Warwick,7079,6390
Rhode Island,Westerly,6903,5350
Rhode Island,Woonsocket,7077,6155
South Carolina,Abbeville County,5106,9343
South Carolina,Aiken County,32275,51589
South Carolina,Allendale County,2718,835
South Carolina,Anderson County,27055,67286
South Carolina,Bamberg County,4003,2413
South Carolina,Barnwell County,4717,5487
South Carolina,Beaufort County,43231,52954
South Carolina,Berkeley County,45126,57285
South Carolina,Calhoun County,3903,4302
South Carolina,Charleston County,121084,92952
South Carolina,Cherokee County,6983,18043
South Carolina,Chester County,6941,8657
South Carolina,Chesterfield County,7427,11279
South Carolina,Clarendon County,8250,8361
South Carolina,Colleton County,8568,10396
South Carolina,Darlington County,15220,16832
South Carolina,Dillon County,6436,6582
South Carolina,Dorchester County,33745,41817
South Carolina,Edgefield County,4953,8184
South Carolina,Fairfield County,7382,4625
South Carolina,Florence County,30792,32304
South Carolina,Georgetown County,15787,20431
South Carolina,Greenville County,102640,149253
South Carolina,Greenwood County,12145,19431
South Carolina,Hampton County,5310,3893
South Carolina,Horry County,58689,118228
South Carolina,Jasper County,7162,7065
South Carolina,Kershaw County,12690,20458
South Carolina,Lancaster County,18824,30146
South Carolina,Laurens County,10141,19969
South Carolina,Lee County,5308,2997
South Carolina,Lexington County,49206,92594
South Carolina,Marion County,8846,5694
South Carolina,Marlboro County,6277,5027
South Carolina,McCormick County,2687,2958
South Carolina,Newberry County,6958,11443
South Carolina,Oconee County,10414,29698
South Carolina,Orangeburg County,27250,13586
South Carolina,Pickens County,13625,42759
South Carolina,Richland County,132384,58235
South Carolina,Saluda County,2948,6179
South Carolina,Spartanburg County,52592,92562
South Carolina,Sumter County,27297,20951
South Carolina,Union County,4935,8183
South Carolina,Williamsburg County,10289,5532
South Carolina,York County,58094,80501
South Dakota,Aurora County,317,1052
South Dakota,Beadle County,2107,4808
South Dakota,Bennett County,466,694
South Dakota,Bon Homme County,721,2235
South Dakota,Brookings County,6110,8000
South Dakota,Brown County,6538,10580
South Dakota,Brule County,673,1750
South Dakota,Buffalo County,352,183
South Dakota,Butte County,939,3731
South Dakota,Campbell County,117,747
South Dakota,Charles Mix County,1177,2552
South Dakota,Clark County,437,1373
South Dakota,Clay County,3083,2456
South Dakota,Codington County,3837,8958
South Dakota,Corson County,622,647
South Dakota,Custer County,1522,3852
South Dakota,Davison County,2648,5613
South Dakota,Day County,1052,1869
South Dakota,Deuel County,609,1699
South Dakota,Dewey County,1131,790
South Dakota,Douglas County,216,1468
South Dakota,Edmunds County,417,1538
South Dakota,Fall River County,1053,2878
South Dakota,Faulk County,198,964
South Dakota,Grant County,1056,2618
South Dakota,Gregory County,455,1772
South Dakota,Haakon County,105,1026
South Dakota,Hamlin County,647,2372
South Dakota,Hand County,373,1433
South Dakota,Hanson County,557,1793
South Dakota,Harding County,49,748
South Dakota,Hughes County,2953,5522
South Dakota,Hutchinson County,762,2944
South Dakota,Hyde County,136,564
South Dakota,Jackson County,359,738
South Dakota,Jerauld County,270,721
South Dakota,Jones County,90,498
South Dakota,Kingsbury County,819,1904
South Dakota,Lake County,2068,3681
South Dakota,Lawrence County,4537,8753
South Dakota,Lincoln County,11981,19676
South Dakota,Lyman County,525,1042
South Dakota,Marshall County,858,1287
South Dakota,McCook County,769,2068
South Dakota,McPherson County,222,1075
South Dakota,Meade County,3285,9875
South Dakota,Mellette County,298,449
South Dakota,Miner County,320,787
South Dakota,Minnehaha County,40482,49249
South Dakota,Moody County,1179,1951
South Dakota,Oglala Lakota County,2824,297
South Dakota,Pennington County,20606,35063
South Dakota,Perkins County,239,1401
South Dakota,Potter County,227,1139
South Dakota,Roberts County,1828,2404
South Dakota,Sanborn County,257,905
South Dakota,Spink County,998,2104
South Dakota,Stanley County,421,1203
South Dakota,Sully County,185,726
South Dakota,Todd County,1963,532
South Dakota,Tripp County,495,2161
South Dakota,Turner County,1139,3290
South Dakota,Union County,2729,5949
South Dakota,Walworth County,565,1966
South Dakota,Yankton County,4016,6581
South Dakota,Ziebach County,481,404
Tennessee,Anderson County,11733,23163
Tennessee,Bedford County,4443,14317
Tennessee,Benton County,1526,5661
Tennessee,Bledsoe County,971,4725
Tennessee,Blount County,17834,47195
Tennessee,Bradley County,9849,35194
Tennessee,Campbell County,2438,12330
Tennessee,Cannon County,1261,5190
Tennessee,Carroll County,2558,9194
Tennessee,Carter County,4613,19873
Tennessee,Cheatham County,5457,14328
Tennessee,Chester County,1411,5951
Tennessee,Claiborne County,2201,10598
Tennessee,Clay County,735,2733
Tennessee,Cocke County,2524,12182
Tennessee,Coffee County,5704,17863
Tennessee,Crockett County,1382,4673
Tennessee,Cumberland County,6728,25167
Tennessee,Davidson County,197846,99415
Tennessee,Decatur County,904,4229
Tennessee,DeKalb County,1747,6663
Tennessee,Dickson County,6098,17619
Tennessee,Dyer County,3157,11766
Tennessee,Fayette County,7000,15661
Tennessee,Fentress County,1210,7403
Tennessee,Franklin County,4863,13977
Tennessee,Gibson County,5764,16245
Tennessee,Giles County,3298,9783
Tennessee,Grainger County,1463,8559
Tennessee,Greene County,5183,22185
Tennessee,Grundy County,985,4795
Tennessee,Hamblen County,5497,18789
Tennessee,Hamilton County,75360,91991
Tennessee,Hancock County,362,2372
Tennessee,Hardeman County,4180,5760
Tennessee,Hardin County,1774,9556
Tennessee,Hawkins County,4069,20372
Tennessee,Haywood County,4000,3338
Tennessee,Henderson County,2092,9797
Tennessee,Henry County,3547,11230
Tennessee,Hickman County,2130,7577
Tennessee,Houston County,869,2715
Tennessee,Humphreys County,2017,6116
Tennessee,Jackson County,1133,4106
Tennessee,Jefferson County,4645,18609
Tennessee,Johnson County,1242,6466
Tennessee,Knox County,91097,124339
Tennessee,Lake County,526,1492
